batch_id,date,line,sku,color_family,wc_grade,container_type,product_line,complexity,run_hours,good_units,good_gallons,gallons_per_unit,yield_loss_frac,cfr_uh_batch,cfr_gal_hr,temperature_f,defect_flag
33,2024-11-14,HM43,Duration-Red-Gallon,Red,7B,gallon,Duration,complex,2.6425,49.8,49.799,1.0,0.0251,19.33,19.33,84.6,0
34,2024-11-14,HM43,Emerald-Red-Gallon,Red,7B,gallon,Emerald,complex,3.2289,46.99,46.986,1.0,0.0393,15.147,15.147,84.6,0
35,2024-11-14,HM43,Duration-Red-Pail,Red,7B,pail_5gal,Duration,complex,2.3212,9.02,45.108,5.0,0.0165,3.952,19.758,84.6,0
36,2024-11-14,HM47,Duration-Red-Gallon,Red,7B,gallon,Duration,standard,2.0939,33.83,33.826,1.0,0.0469,16.95,16.95,84.6,0
37,2024-11-14,HM47,Duration-Red-Pail,Red,7B,pail_5gal,Duration,standard,1.5907,5.7,28.504,5.0,0.0612,3.817,19.086,84.6,0
38,2024-11-14,HM47,Emerald-Red-Pail,Red,7B,pail_5gal,Emerald,standard,3.0044,16.18,80.908,5.0,0.03,5.553,27.764,84.6,0
39,2024-11-14,HM47,Emerald-Red-Pail,Red,7B,pail_5gal,Emerald,standard,1.2234,5.92,29.612,5.0,0.1368,5.608,28.042,84.6,1
40,2024-11-14,HM50,ProMar200-Clear-Gallon,Clear,8A,gallon,ProMar200,standard,1.6491,23.28,23.277,1.0,0.0363,14.648,14.648,84.6,0
41,2024-11-14,HM50,SuperPaint-Clear-Pail,Clear,8A,pail_5gal,SuperPaint,standard,0.8484,3.33,16.654,5.0,0.0284,4.041,20.204,84.6,0
42,2024-11-14,HM50,SuperPaint-Clear-Gallon,Clear,8A,gallon,SuperPaint,standard,3.1903,49.91,49.915,1.0,0.0238,16.027,16.027,84.6,0
43,2024-11-14,HM50,SuperPaint-Clear-Quart,Clear,8A,quart,SuperPaint,standard,2.225,59.23,14.806,0.25,0.0381,27.674,6.918,84.6,0
44,2024-11-14,HM50,ProMar200-Clear-Quart,Clear,8A,quart,ProMar200,standard,3.7121,60.43,15.107,0.25,0.035,16.869,4.217,84.6,0
45,2024-11-14,HM56,SuperPaint-White-Gallon,White,6A,gallon,SuperPaint,standard,1.2553,18.18,18.179,1.0,0.0395,15.076,15.076,84.6,0
46,2024-11-14,HM56,SuperPaint-White-Pail,White,6A,pail_5gal,SuperPaint,standard,1.7915,10.72,53.606,5.0,0.026,6.144,30.719,84.6,0
47,2024-11-14,HM56,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,2.6433,57.34,14.335,0.25,0.04,22.596,5.649,84.6,0
48,2024-11-14,HM56,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,1.7597,37.93,9.482,0.25,0.0034,21.627,5.407,84.6,0
49,2024-11-14,HM56,SuperPaint-White-Gallon,White,6A,gallon,SuperPaint,standard,1.839,30.64,30.639,1.0,0.0392,17.341,17.341,84.6,0
50,2024-11-15,HM01,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,1.0658,23.13,5.783,0.25,0.0362,22.518,5.629,63.0,0
51,2024-11-15,HM01,SuperPaint-White-Gallon,White,6A,gallon,SuperPaint,standard,2.1594,36.5,36.499,1.0,0.053,17.848,17.848,63.0,0
52,2024-11-15,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.7068,48.74,12.186,0.25,0.0323,18.609,4.652,63.0,0
53,2024-11-15,HM12,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,2.9774,56.79,14.199,0.25,0.0354,19.775,4.944,63.0,0
54,2024-11-15,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,1.8381,47.5,11.874,0.25,0.0152,26.24,6.56,63.0,0
55,2024-11-15,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.7451,59.9,14.976,0.25,0.0158,22.173,5.543,63.0,0
56,2024-11-15,HM12,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,3.391,74.66,18.665,0.25,0.0311,22.725,5.681,63.0,0
57,2024-11-15,HM13,SuperPaint-Blue/Green-Pail,Blue/Green,7A,pail_5gal,SuperPaint,complex,3.2104,18.8,94.01,5.0,0.0451,6.133,30.666,63.0,0
58,2024-11-15,HM13,SuperPaint-Blue/Green-Pail,Blue/Green,7A,pail_5gal,SuperPaint,complex,1.9571,7.21,36.032,5.0,0.0045,3.699,18.495,63.0,0
59,2024-11-15,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,2.1364,47.12,11.781,0.25,0.0296,22.73,5.682,63.0,0
60,2024-11-15,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,2.483,50.58,12.644,0.25,0.1401,23.687,5.922,63.0,1
61,2024-11-15,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,1.3927,27.05,6.762,0.25,0.0441,20.318,5.079,63.0,0
62,2024-11-15,HM14,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,1.3794,22.3,22.3,1.0,0.0147,16.408,16.408,63.0,0
63,2024-11-15,HM16,Emerald-Red-Gallon,Red,7B,gallon,Emerald,standard,1.4985,26.38,26.382,1.0,0.021,17.982,17.982,63.0,0
64,2024-11-15,HM16,Emerald-Red-Gallon,Red,7B,gallon,Emerald,standard,2.8862,51.87,51.874,1.0,0.0177,18.298,18.298,63.0,0
65,2024-11-15,HM16,Duration-Red-Pail,Red,7B,pail_5gal,Duration,standard,2.9001,11.55,57.765,5.0,0.0408,4.153,20.766,63.0,0
66,2024-11-15,HM20,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.258,33.33,33.333,1.0,0.0,14.762,14.762,63.0,0
67,2024-11-15,HM20,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.2149,35.41,35.411,1.0,0.0157,16.243,16.243,63.0,0
68,2024-11-15,HM20,ProMar200-Black-Pail,Black,5A,pail_5gal,ProMar200,standard,3.3829,17.35,86.733,5.0,0.0057,5.157,25.784,63.0,0
69,2024-11-15,HM20,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,1.5577,32.47,8.118,0.25,0.0349,21.598,5.399,63.0,0
70,2024-11-15,HM20,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,1.089,15.48,15.477,1.0,0.1276,16.291,16.291,63.0,1
71,2024-11-15,HM25,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.1228,36.47,36.468,1.0,0.0589,18.254,18.254,63.0,0
72,2024-11-15,HM25,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,2.9632,74.43,18.608,0.25,0.0507,26.46,6.615,63.0,0
73,2024-11-15,HM25,PrepRite-Black-Pail,Black,5A,pail_5gal,PrepRite,standard,1.8322,8.23,41.16,5.0,0.0128,4.551,22.755,63.0,0
74,2024-11-15,HM25,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,1.8185,28.1,28.1,1.0,0.0307,15.941,15.941,63.0,0
75,2024-11-15,HM25,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,2.0969,42.63,10.658,0.25,0.0453,21.296,5.324,63.0,0
76,2024-11-15,HM30,PrepRite-Black-Quart,Black,5A,quart,PrepRite,standard,3.9836,84.82,21.206,0.25,0.0088,21.483,5.371,63.0,0
77,2024-11-15,HM30,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,2.8042,46.11,46.112,1.0,0.0405,17.138,17.138,63.0,0
78,2024-11-15,HM36,Duration-White-Gallon,White,6A,gallon,Duration,standard,2.4039,34.6,34.602,1.0,0.0125,14.575,14.575,63.0,0
79,2024-11-15,HM36,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,0.9118,17.91,4.478,0.25,0.0401,20.463,5.116,63.0,0
80,2024-11-15,HM36,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,2.4409,40.96,40.957,1.0,0.0101,16.951,16.951,63.0,0
81,2024-11-15,HM36,Duration-White-Pail,White,6A,pail_5gal,Duration,standard,1.0185,5.57,27.834,5.0,0.0425,5.708,28.542,63.0,0
82,2024-11-15,HM43,Emerald-Red-Quart,Red,7B,quart,Emerald,complex,2.0628,41.33,10.331,0.25,0.0421,20.914,5.229,63.0,0
83,2024-11-15,HM43,Duration-Red-Gallon,Red,7B,gallon,Duration,complex,1.9812,31.98,31.975,1.0,0.0233,16.525,16.525,63.0,0
84,2024-11-15,HM43,Duration-Red-Gallon,Red,7B,gallon,Duration,complex,4.391,80.23,80.235,1.0,0.0095,18.448,18.448,63.0,0
85,2024-11-15,HM43,Emerald-Red-Gallon,Red,7B,gallon,Emerald,complex,2.2142,38.98,38.983,1.0,0.0359,18.261,18.261,63.0,0
86,2024-11-15,HM43,Duration-Red-Quart,Red,7B,quart,Duration,complex,1.7855,35.92,8.981,0.25,0.0153,20.431,5.108,63.0,0
87,2024-11-15,HM47,Emerald-Red-Pail,Red,7B,pail_5gal,Emerald,standard,2.1184,9.87,49.326,5.0,0.0315,4.808,24.042,63.0,0
88,2024-11-15,HM47,Emerald-Red-Quart,Red,7B,quart,Emerald,standard,2.5195,66.44,16.61,0.25,0.0188,26.875,6.719,63.0,0
89,2024-11-15,HM47,Duration-Red-Pail,Red,7B,pail_5gal,Duration,standard,1.5126,8.07,40.373,5.0,0.02,5.447,27.236,63.0,0
90,2024-11-15,HM47,Duration-Red-Pail,Red,7B,pail_5gal,Duration,standard,2.0897,9.36,46.815,5.0,0.0267,4.603,23.017,63.0,0
91,2024-11-15,HM50,ProMar200-Clear-Pail,Clear,8A,pail_5gal,ProMar200,standard,2.0286,10.26,51.313,5.0,0.0268,5.198,25.992,63.0,0
92,2024-11-15,HM50,SuperPaint-Clear-Gallon,Clear,8A,gallon,SuperPaint,standard,1.7494,26.44,26.435,1.0,0.03,15.578,15.578,63.0,0
93,2024-11-15,HM50,ProMar200-Clear-Quart,Clear,8A,quart,ProMar200,standard,1.3005,27.49,6.873,0.25,0.0265,21.714,5.428,63.0,0
94,2024-11-15,HM56,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,1.2123,19.95,19.945,1.0,0.0237,16.852,16.852,63.0,0
95,2024-11-15,HM56,Duration-White-Quart,White,6A,quart,Duration,standard,3.8872,87.45,21.862,0.25,0.0,22.496,5.624,63.0,0
96,2024-11-15,HM56,Duration-White-Quart,White,6A,quart,Duration,standard,1.6434,33.94,8.484,0.25,0.0177,21.021,5.255,63.0,0
97,2024-11-15,HM56,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,2.1401,49.68,12.421,0.25,0.031,23.958,5.989,63.0,0
98,2024-11-16,HM01,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,0.6062,11.98,2.995,0.25,0.0354,20.486,5.121,70.7,0
99,2024-11-16,HM01,Duration-White-Gallon,White,6A,gallon,Duration,standard,1.4727,21.84,21.836,1.0,0.0247,15.203,15.203,70.7,0
100,2024-11-16,HM01,SuperPaint-White-Gallon,White,6A,gallon,SuperPaint,standard,1.9629,40.44,40.439,1.0,0.0175,20.969,20.969,70.7,0
101,2024-11-16,HM01,SuperPaint-White-Quart,White,6A,quart,SuperPaint,standard,1.0328,18.01,4.501,0.25,0.0212,17.811,4.453,70.7,0
102,2024-11-16,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,5.5853,129.93,32.484,0.25,0.0184,23.699,5.925,70.7,0
103,2024-11-16,HM12,SuperPaint-Blue/Green-Pail,Blue/Green,7A,pail_5gal,SuperPaint,complex,3.0015,12.85,64.23,5.0,0.0091,4.319,21.596,70.7,0
104,2024-11-16,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.9619,54.12,13.53,0.25,0.0078,18.417,4.604,70.7,0
105,2024-11-16,HM13,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,4.651,79.5,19.875,0.25,0.008,17.231,4.308,70.7,0
106,2024-11-16,HM13,SuperPaint-Blue/Green-Pail,Blue/Green,7A,pail_5gal,SuperPaint,complex,3.8799,17.52,87.576,5.0,0.0187,4.6,23.002,70.7,0
107,2024-11-16,HM13,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,1.8833,33.44,8.36,0.25,0.0458,18.608,4.652,70.7,0
108,2024-11-16,HM13,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.7705,63.74,15.936,0.25,0.0029,23.074,5.768,70.7,0
109,2024-11-16,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,1.9667,40.88,10.22,0.25,0.0319,21.472,5.368,70.7,0
110,2024-11-16,HM14,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,1.7174,31.44,7.861,0.25,0.0269,18.814,4.704,70.7,0
111,2024-11-16,HM14,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,2.4113,32.77,32.772,1.0,0.0428,14.199,14.199,70.7,0
112,2024-11-16,HM16,Duration-Red-Gallon,Red,7B,gallon,Duration,standard,2.4243,32.58,32.58,1.0,0.0578,14.263,14.263,70.7,0
113,2024-11-16,HM16,Emerald-Red-Pail,Red,7B,pail_5gal,Emerald,standard,2.1179,8.88,44.398,5.0,0.0495,4.411,22.054,70.7,0
114,2024-11-16,HM20,PrepRite-Black-Quart,Black,5A,quart,PrepRite,standard,1.2374,24.45,6.112,0.25,0.0024,19.806,4.952,70.7,0
115,2024-11-16,HM20,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,2.1701,48.31,12.076,0.25,0.0234,22.792,5.698,70.7,0
116,2024-11-16,HM20,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,1.5613,27.67,27.67,1.0,0.0438,18.535,18.535,70.7,0
117,2024-11-16,HM20,ProMar200-Black-Pail,Black,5A,pail_5gal,ProMar200,standard,1.2119,4.86,24.278,5.0,0.0084,4.041,20.203,70.7,0
118,2024-11-16,HM20,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,1.4507,26.4,26.401,1.0,0.0029,18.252,18.252,70.7,0
119,2024-11-16,HM25,PrepRite-Black-Quart,Black,5A,quart,PrepRite,standard,1.5185,33.01,8.253,0.25,0.0324,22.469,5.617,70.7,0
120,2024-11-16,HM25,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.4671,40.94,40.94,1.0,0.0209,16.949,16.949,70.7,0
121,2024-11-16,HM25,PrepRite-Black-Pail,Black,5A,pail_5gal,PrepRite,standard,1.7283,9.6,48.02,5.0,0.0048,5.584,27.92,70.7,0
122,2024-11-16,HM25,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,2.2693,35.25,35.247,1.0,0.0497,16.345,16.345,70.7,0
123,2024-11-16,HM25,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,2.9624,66.69,16.673,0.25,0.0322,23.261,5.815,70.7,0
124,2024-11-16,HM30,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,0.9971,16.08,16.076,1.0,0.0625,17.198,17.198,70.7,0
125,2024-11-16,HM30,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,1.1055,19.34,19.343,1.0,0.0239,17.925,17.925,70.7,0
126,2024-11-16,HM30,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,3.2656,56.76,56.756,1.0,0.0082,17.525,17.525,70.7,0
127,2024-11-16,HM30,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.2502,40.04,40.037,1.0,0.001,17.81,17.81,70.7,0
128,2024-11-16,HM30,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,1.9641,39.23,39.226,1.0,0.019,20.359,20.359,70.7,0
129,2024-11-16,HM36,Duration-White-Gallon,White,6A,gallon,Duration,standard,1.8451,25.59,25.594,1.0,0.0201,14.156,14.156,70.7,0
130,2024-11-16,HM36,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,1.1619,20.2,20.196,1.0,0.0268,17.859,17.859,70.7,0
131,2024-11-16,HM43,Duration-Red-Gallon,Red,7B,gallon,Duration,complex,7.3153,107.18,107.177,1.0,0.0401,15.264,15.264,70.7,0
132,2024-11-16,HM43,Emerald-Red-Quart,Red,7B,quart,Emerald,complex,2.0165,37.92,9.481,0.25,0.0181,19.152,4.788,70.7,0
133,2024-11-16,HM43,Duration-Red-Quart,Red,7B,quart,Duration,complex,2.777,46.49,11.622,0.25,0.1727,20.234,5.059,70.7,1
134,2024-11-16,HM43,Duration-Red-Gallon,Red,7B,gallon,Duration,complex,3.6407,54.23,54.233,1.0,0.0377,15.48,15.48,70.7,0
135,2024-11-16,HM43,Duration-Red-Pail,Red,7B,pail_5gal,Duration,complex,1.5885,7.07,35.328,5.0,0.0369,4.618,23.092,70.7,0
136,2024-11-16,HM47,Emerald-Red-Quart,Red,7B,quart,Emerald,standard,3.0938,60.85,15.212,0.25,0.005,19.767,4.942,70.7,0
137,2024-11-16,HM47,Emerald-Red-Gallon,Red,7B,gallon,Emerald,standard,1.4098,27.29,27.294,1.0,0.0533,20.45,20.45,70.7,0
138,2024-11-16,HM50,ProMar200-Clear-Gallon,Clear,8A,gallon,ProMar200,standard,1.5233,25.02,25.016,1.0,0.0258,16.857,16.857,70.7,0
139,2024-11-16,HM50,SuperPaint-Clear-Gallon,Clear,8A,gallon,SuperPaint,standard,1.0352,18.28,18.277,1.0,0.0059,17.76,17.76,70.7,0
140,2024-11-16,HM50,SuperPaint-Clear-Quart,Clear,8A,quart,SuperPaint,standard,0.9455,23.31,5.827,0.25,0.0209,25.18,6.295,70.7,0
141,2024-11-16,HM50,ProMar200-Clear-Gallon,Clear,8A,gallon,ProMar200,standard,1.1343,16.4,16.398,1.0,0.0412,15.079,15.079,70.7,0
142,2024-11-16,HM50,SuperPaint-Clear-Gallon,Clear,8A,gallon,SuperPaint,standard,2.6224,41.13,41.132,1.0,0.0227,16.049,16.049,70.7,0
143,2024-11-16,HM56,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,1.7296,37.25,9.313,0.25,0.018,21.934,5.483,70.7,0
144,2024-11-16,HM56,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,2.3885,63.9,15.976,0.25,0.0065,26.93,6.733,70.7,0
145,2024-11-16,HM56,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,2.6673,40.96,40.957,1.0,0.0347,15.907,15.907,70.7,0
146,2024-11-17,HM01,ProMar200-White-Gallon,White,6A,gallon,ProMar200,standard,0.9626,15.86,15.855,1.0,0.02,16.807,16.807,74.8,0
147,2024-11-17,HM01,Duration-White-Gallon,White,6A,gallon,Duration,standard,0.8149,12.25,12.251,1.0,0.0139,15.246,15.246,74.8,0
148,2024-11-17,HM01,ProMar200-White-Pail,White,6A,pail_5gal,ProMar200,standard,1.3021,6.55,32.726,5.0,0.0294,5.179,25.894,74.8,0
149,2024-11-17,HM01,ProMar200-White-Quart,White,6A,quart,ProMar200,standard,1.2861,27.67,6.917,0.25,0.0244,22.05,5.513,74.8,0
150,2024-11-17,HM01,Duration-White-Quart,White,6A,quart,Duration,standard,2.4699,52.89,13.222,0.25,0.0338,22.161,5.54,74.8,0
151,2024-11-17,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,1.7082,36.92,9.23,0.25,0.048,22.703,5.676,74.8,0
152,2024-11-17,HM12,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,4.3439,87.27,21.819,0.25,0.0337,20.791,5.198,74.8,0
153,2024-11-17,HM12,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,2.3126,35.85,35.851,1.0,0.032,16.015,16.015,74.8,0
154,2024-11-17,HM12,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,2.7992,52.92,13.231,0.25,0.0666,20.255,5.064,74.8,0
155,2024-11-17,HM13,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,2.1883,32.89,32.892,1.0,0.0229,15.383,15.383,74.8,0
156,2024-11-17,HM13,Emerald-Blue/Green-Gallon,Blue/Green,7A,gallon,Emerald,complex,3.4782,40.28,40.275,1.0,0.012,11.72,11.72,74.8,0
157,2024-11-17,HM13,SuperPaint-Blue/Green-Gallon,Blue/Green,7A,gallon,SuperPaint,complex,6.1022,77.58,77.583,1.0,0.183,15.561,15.561,74.8,1
158,2024-11-17,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,1.6392,34.09,8.523,0.25,0.0545,21.997,5.499,74.8,0
159,2024-11-17,HM14,Emerald-Blue/Green-Quart,Blue/Green,7A,quart,Emerald,complex,1.9908,39.51,9.878,0.25,0.0163,20.175,5.044,74.8,0
160,2024-11-17,HM14,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,4.4144,77.07,19.269,0.25,0.0243,17.894,4.474,74.8,0
161,2024-11-17,HM14,SuperPaint-Blue/Green-Quart,Blue/Green,7A,quart,SuperPaint,complex,0.949,22.94,5.734,0.25,0.0435,25.268,6.317,74.8,0
162,2024-11-17,HM16,Duration-Red-Pail,Red,7B,pail_5gal,Duration,standard,1.785,9.0,45.022,5.0,0.0593,5.363,26.814,74.8,0
163,2024-11-17,HM16,Emerald-Red-Gallon,Red,7B,gallon,Emerald,standard,0.9741,16.55,16.547,1.0,0.0384,17.665,17.665,74.8,0
164,2024-11-17,HM20,ProMar200-Black-Quart,Black,5A,quart,ProMar200,standard,1.8449,39.87,9.967,0.25,0.0074,21.769,5.442,74.8,0
165,2024-11-17,HM20,PrepRite-Black-Gallon,Black,5A,gallon,PrepRite,standard,2.2475,37.02,37.022,1.0,0.0495,17.33,17.33,74.8,0
166,2024-11-17,HM25,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,2.8899,44.98,44.98,1.0,0.0175,15.842,15.842,74.8,0
167,2024-11-17,HM25,ProMar200-Black-Gallon,Black,5A,gallon,ProMar200,standard,4.8812,74.62,74.623,1.0,0.0198,15.596,15.596,74.8,0
