date,line,hours_down,code
2024-11-18,HM36,0.987,PLANNED_PM
2024-11-18,HM43,0.715,PLANNED_PM
2024-11-18,HM47,1.148,MECH
2024-11-18,HM50,0.484,MECH
2024-11-18,HM56,0.877,OPERATOR
2024-11-19,HM01,1.886,MATERIAL
2024-11-19,HM12,0.251,ELEC
2024-11-19,HM13,1.45,ELEC
2024-11-19,HM14,0.623,MECH
2024-11-19,HM16,1.357,MECH
2024-11-19,HM20,1.344,ELEC
2024-11-19,HM25,1.828,MECH
2024-11-19,HM30,0.81,ELEC
2024-11-19,HM36,0.553,OPERATOR
2024-11-19,HM43,2.159,OPERATOR
2024-11-19,HM47,0.181,OPERATOR
2024-11-19,HM50,1.965,PLANNED_PM
2024-11-19,HM56,1.577,MECH
2024-11-20,HM01,0.499,PLANNED_PM
2024-11-20,HM12,0.771,MECH
2024-11-20,HM13,1.542,OPERATOR
2024-11-20,HM14,0.717,MATERIAL
2024-11-20,HM16,0.79,OPERATOR
2024-11-20,HM20,0.503,ELEC
2024-11-20,HM25,0.335,ELEC
2024-11-20,HM30,0.594,PLANNED_PM
2024-11-20,HM36,1.525,MATERIAL
2024-11-20,HM43,0.734,ELEC
2024-11-20,HM47,1.4,MECH
2024-11-20,HM50,1.06,MATERIAL
2024-11-20,HM56,0.468,PLANNED_PM
2024-11-21,HM01,1.041,MATERIAL
2024-11-21,HM12,1.036,OPERATOR
2024-11-21,HM13,1.78,ELEC
2024-11-21,HM14,0.991,MECH
2024-11-21,HM16,0.536,MATERIAL
2024-11-21,HM20,0.726,MECH
2024-11-21,HM25,1.115,PLANNED_PM
2024-11-21,HM30,0.579,MATERIAL
2024-11-21,HM36,0.818,OPERATOR
2024-11-21,HM43,1.179,MECH
2024-11-21,HM47,1.183,PLANNED_PM
2024-11-21,HM50,0.302,PLANNED_PM
2024-11-21,HM56,1.792,OPERATOR
2024-11-22,HM01,0.371,PLANNED_PM
2024-11-22,HM12,0.507,PLANNED_PM
2024-11-22,HM13,1.706,ELEC
2024-11-22,HM14,1.133,OPERATOR
2024-11-22,HM16,5.188,MECH
2024-11-22,HM20,0.914,MECH
2024-11-22,HM25,1.433,MATERIAL
2024-11-22,HM30,0.622,OPERATOR
2024-11-22,HM36,0.555,PLANNED_PM
2024-11-22,HM43,0.59,MATERIAL
2024-11-22,HM47,0.616,PLANNED_PM
2024-11-22,HM50,2.913,PLANNED_PM
2024-11-22,HM56,3.103,MECH
2024-11-23,HM01,0.309,PLANNED_PM
2024-11-23,HM12,0.663,ELEC
2024-11-23,HM13,1.3,ELEC
2024-11-23,HM14,0.793,MECH
2024-11-23,HM16,1.079,OPERATOR
2024-11-23,HM20,1.084,OPERATOR
2024-11-23,HM25,0.683,PLANNED_PM
2024-11-23,HM30,6.241,PLANNED_PM
2024-11-23,HM36,0.43,ELEC
2024-11-23,HM43,0.946,ELEC
2024-11-23,HM47,0.434,MECH
2024-11-23,HM50,0.727,ELEC
2024-11-23,HM56,2.011,MECH
2024-11-24,HM01,1.105,PLANNED_PM
2024-11-24,HM12,1.714,MATERIAL
2024-11-24,HM13,1.906,ELEC
2024-11-24,HM14,0.696,MATERIAL
2024-11-24,HM16,1.143,MATERIAL
2024-11-24,HM20,0.772,MECH
2024-11-24,HM25,0.982,MATERIAL
2024-11-24,HM30,1.279,OPERATOR
2024-11-24,HM36,0.49,OPERATOR
2024-11-24,HM43,0.739,PLANNED_PM
2024-11-24,HM47,0.241,ELEC
2024-11-24,HM50,0.788,ELEC
2024-11-24,HM56,0.342,PLANNED_PM
2024-11-25,HM01,0.979,MECH
2024-11-25,HM12,1.168,ELEC
2024-11-25,HM13,0.475,PLANNED_PM
2024-11-25,HM14,0.603,PLANNED_PM
2024-11-25,HM16,0.607,MATERIAL
2024-11-25,HM20,0.506,ELEC
2024-11-25,HM25,0.905,MECH
2024-11-25,HM30,0.616,OPERATOR
2024-11-25,HM36,0.953,OPERATOR
2024-11-25,HM43,0.821,PLANNED_PM
2024-11-25,HM47,0.549,ELEC
2024-11-25,HM50,0.789,ELEC
2024-11-25,HM56,0.482,OPERATOR
2024-11-26,HM01,1.166,MECH
2024-11-26,HM12,0.767,MATERIAL
2024-11-26,HM13,2.343,OPERATOR
2024-11-26,HM14,1.25,MATERIAL
2024-11-26,HM16,1.004,MATERIAL
2024-11-26,HM20,2.177,ELEC
2024-11-26,HM25,1.705,OPERATOR
2024-11-26,HM30,0.446,PLANNED_PM
2024-11-26,HM36,0.423,MATERIAL
2024-11-26,HM43,0.453,ELEC
2024-11-26,HM47,3.376,PLANNED_PM
2024-11-26,HM50,0.769,ELEC
2024-11-26,HM56,5.551,PLANNED_PM
2024-11-27,HM01,1.15,MATERIAL
2024-11-27,HM12,1.142,OPERATOR
2024-11-27,HM13,0.539,ELEC
2024-11-27,HM14,1.743,ELEC
2024-11-27,HM16,1.268,MATERIAL
2024-11-27,HM20,0.44,MECH
2024-11-27,HM25,0.959,MECH
2024-11-27,HM30,1.29,PLANNED_PM
2024-11-27,HM36,1.001,ELEC
2024-11-27,HM43,0.834,PLANNED_PM
2024-11-27,HM47,0.915,PLANNED_PM
2024-11-27,HM50,1.038,MECH
2024-11-27,HM56,0.569,MATERIAL
2024-11-28,HM01,4.643,OPERATOR
2024-11-28,HM12,1.255,ELEC
2024-11-28,HM13,0.713,ELEC
2024-11-28,HM14,1.353,MECH
2024-11-28,HM16,0.901,MATERIAL
2024-11-28,HM20,0.4,MECH
2024-11-28,HM25,0.263,OPERATOR
2024-11-28,HM30,0.382,MECH
2024-11-28,HM36,0.55,PLANNED_PM
2024-11-28,HM43,0.891,ELEC
2024-11-28,HM47,0.645,PLANNED_PM
2024-11-28,HM50,0.967,OPERATOR
2024-11-28,HM56,0.316,PLANNED_PM
2024-11-29,HM01,0.775,PLANNED_PM
2024-11-29,HM12,1.105,PLANNED_PM
2024-11-29,HM13,0.335,PLANNED_PM
2024-11-29,HM14,0.738,ELEC
2024-11-29,HM16,0.901,ELEC
2024-11-29,HM20,0.485,MECH
2024-11-29,HM25,0.939,PLANNED_PM
2024-11-29,HM30,0.635,PLANNED_PM
2024-11-29,HM36,1.342,ELEC
2024-11-29,HM43,0.585,OPERATOR
2024-11-29,HM47,3.533,MATERIAL
2024-11-29,HM50,0.846,PLANNED_PM
2024-11-29,HM56,0.549,MATERIAL
2024-11-30,HM01,1.019,OPERATOR
2024-11-30,HM12,0.594,MECH
2024-11-30,HM13,1.053,ELEC
2024-11-30,HM14,1.133,OPERATOR
2024-11-30,HM16,1.493,PLANNED_PM
2024-11-30,HM20,1.732,PLANNED_PM
2024-11-30,HM25,0.618,MECH
2024-11-30,HM30,0.902,PLANNED_PM
2024-11-30,HM36,3.444,MATERIAL
2024-11-30,HM43,0.542,ELEC
2024-11-30,HM47,0.385,MATERIAL
2024-11-30,HM50,0.447,OPERATOR
2024-11-30,HM56,0.732,MATERIAL
2024-12-01,HM01,0.316,ELEC
2024-12-01,HM12,0.872,OPERATOR
2024-12-01,HM13,0.356,PLANNED_PM
2024-12-01,HM14,1.629,PLANNED_PM
2024-12-01,HM16,1.634,ELEC
2024-12-01,HM20,0.432,MECH
2024-12-01,HM25,1.378,MATERIAL
2024-12-01,HM30,0.379,MECH
2024-12-01,HM36,0.953,MATERIAL
2024-12-01,HM43,1.205,MECH
2024-12-01,HM47,0.346,PLANNED_PM
2024-12-01,HM50,0.256,MATERIAL
2024-12-01,HM56,0.602,PLANNED_PM
2024-12-02,HM01,0.419,PLANNED_PM
2024-12-02,HM12,1.915,OPERATOR
2024-12-02,HM13,0.605,MECH
2024-12-02,HM14,0.952,MATERIAL
2024-12-02,HM16,0.366,MATERIAL
2024-12-02,HM20,1.316,MECH
2024-12-02,HM25,0.929,PLANNED_PM
2024-12-02,HM30,1.479,MECH
2024-12-02,HM36,3.566,PLANNED_PM
2024-12-02,HM43,1.141,PLANNED_PM
2024-12-02,HM47,1.37,OPERATOR
2024-12-02,HM50,6.49,MATERIAL
2024-12-02,HM56,0.679,MATERIAL
2024-12-03,HM01,0.88,MATERIAL
2024-12-03,HM12,1.062,OPERATOR
2024-12-03,HM13,0.584,PLANNED_PM
2024-12-03,HM14,1.178,OPERATOR
2024-12-03,HM16,0.958,OPERATOR
2024-12-03,HM20,0.857,OPERATOR
2024-12-03,HM25,0.474,PLANNED_PM
2024-12-03,HM30,1.564,MATERIAL
2024-12-03,HM36,1.066,MECH
2024-12-03,HM43,1.273,PLANNED_PM
2024-12-03,HM47,1.022,PLANNED_PM
2024-12-03,HM50,0.845,MECH
2024-12-03,HM56,0.9,MATERIAL
2024-12-04,HM01,0.417,MATERIAL
2024-12-04,HM12,1.892,MATERIAL
2024-12-04,HM13,0.651,OPERATOR
2024-12-04,HM14,0.63,MATERIAL
2024-12-04,HM16,0.623,ELEC
2024-12-04,HM20,1.05,MECH
2024-12-04,HM25,0.617,ELEC
2024-12-04,HM30,1.78,PLANNED_PM
2024-12-04,HM36,0.579,OPERATOR
2024-12-04,HM43,0.37,OPERATOR
2024-12-04,HM47,1.063,MECH
2024-12-04,HM50,1.932,OPERATOR
2024-12-04,HM56,0.824,PLANNED_PM
2024-12-05,HM01,1.133,ELEC
2024-12-05,HM12,0.177,OPERATOR
2024-12-05,HM13,3.335,ELEC
2024-12-05,HM14,0.314,OPERATOR
2024-12-05,HM16,0.636,ELEC
2024-12-05,HM20,5.438,OPERATOR
2024-12-05,HM25,0.881,PLANNED_PM
2024-12-05,HM30,0.365,OPERATOR
2024-12-05,HM36,2.341,MATERIAL
2024-12-05,HM43,2.77,ELEC
2024-12-05,HM47,1.05,PLANNED_PM
2024-12-05,HM50,1.464,MECH
2024-12-05,HM56,1.449,MECH
2024-12-06,HM01,0.749,ELEC
2024-12-06,HM12,0.653,PLANNED_PM
2024-12-06,HM13,1.341,MATERIAL
2024-12-06,HM14,1.391,MATERIAL
2024-12-06,HM16,0.549,OPERATOR
2024-12-06,HM20,1.97,MATERIAL
2024-12-06,HM25,0.532,MATERIAL
2024-12-06,HM30,0.592,MECH
2024-12-06,HM36,0.422,PLANNED_PM
2024-12-06,HM43,0.933,ELEC
2024-12-06,HM47,1.14,OPERATOR
2024-12-06,HM50,0.456,ELEC
2024-12-06,HM56,0.603,OPERATOR
2024-12-07,HM01,1.009,MATERIAL
2024-12-07,HM12,0.238,ELEC
2024-12-07,HM13,0.643,OPERATOR
2024-12-07,HM14,3.343,MECH
2024-12-07,HM16,0.343,MECH
2024-12-07,HM20,1.256,MECH
2024-12-07,HM25,0.752,ELEC
2024-12-07,HM30,0.799,OPERATOR
2024-12-07,HM36,0.931,MECH
2024-12-07,HM43,0.896,MATERIAL
2024-12-07,HM47,0.545,MECH
2024-12-07,HM50,0.267,MATERIAL
2024-12-07,HM56,0.392,OPERATOR
2024-12-08,HM01,0.591,PLANNED_PM
2024-12-08,HM12,1.087,PLANNED_PM
2024-12-08,HM13,1.206,MATERIAL
2024-12-08,HM14,0.516,PLANNED_PM
2024-12-08,HM16,0.56,MATERIAL
2024-12-08,HM20,0.882,OPERATOR
2024-12-08,HM25,0.535,OPERATOR
2024-12-08,HM30,6.197,PLANNED_PM
2024-12-08,HM36,0.393,MATERIAL
2024-12-08,HM43,1.99,OPERATOR
2024-12-08,HM47,1.163,MATERIAL
2024-12-08,HM50,2.477,MECH
2024-12-08,HM56,0.62,MATERIAL
2024-12-09,HM01,0.424,OPERATOR
2024-12-09,HM12,1.447,PLANNED_PM
2024-12-09,HM13,1.329,ELEC
2024-12-09,HM14,0.709,MECH
2024-12-09,HM16,0.751,MATERIAL
2024-12-09,HM20,0.94,MECH
2024-12-09,HM25,0.415,OPERATOR
2024-12-09,HM30,2.506,OPERATOR
2024-12-09,HM36,0.262,ELEC
2024-12-09,HM43,0.642,MECH
2024-12-09,HM47,1.367,ELEC
2024-12-09,HM50,0.649,MECH
2024-12-09,HM56,3.161,MECH
2024-12-10,HM01,0.819,MATERIAL
2024-12-10,HM12,2.151,OPERATOR
2024-12-10,HM13,1.023,OPERATOR
2024-12-10,HM14,1.059,PLANNED_PM
2024-12-10,HM16,0.602,OPERATOR
2024-12-10,HM20,0.725,MATERIAL
2024-12-10,HM25,0.249,MECH
2024-12-10,HM30,0.732,OPERATOR
2024-12-10,HM36,0.739,OPERATOR
2024-12-10,HM43,2.584,MECH
2024-12-10,HM47,0.366,PLANNED_PM
2024-12-10,HM50,0.42,OPERATOR
2024-12-10,HM56,0.478,ELEC
2024-12-11,HM01,1.198,PLANNED_PM
2024-12-11,HM12,0.607,MECH
2024-12-11,HM13,0.793,PLANNED_PM
2024-12-11,HM14,0.313,MATERIAL
2024-12-11,HM16,0.876,MECH
2024-12-11,HM20,4.808,MATERIAL
2024-12-11,HM25,0.552,PLANNED_PM
2024-12-11,HM30,0.772,ELEC
2024-12-11,HM36,0.405,ELEC
2024-12-11,HM43,0.644,OPERATOR
2024-12-11,HM47,0.987,MECH
2024-12-11,HM50,1.769,MATERIAL
2024-12-11,HM56,0.774,MECH
2024-12-12,HM01,0.848,MATERIAL
2024-12-12,HM12,0.711,MECH
2024-12-12,HM13,2.815,MATERIAL
2024-12-12,HM14,0.945,MECH
2024-12-12,HM16,0.723,ELEC
2024-12-12,HM20,1.466,MECH
2024-12-12,HM25,0.552,PLANNED_PM
2024-12-12,HM30,0.86,MATERIAL
2024-12-12,HM36,2.216,ELEC
2024-12-12,HM43,1.116,ELEC
2024-12-12,HM47,1.56,MATERIAL
2024-12-12,HM50,3.835,MATERIAL
2024-12-12,HM56,0.715,OPERATOR
2024-12-13,HM01,2.583,MATERIAL
2024-12-13,HM12,1.478,MATERIAL
2024-12-13,HM13,0.59,ELEC
2024-12-13,HM14,0.826,OPERATOR
2024-12-13,HM16,0.841,MECH
2024-12-13,HM20,1.069,MATERIAL
2024-12-13,HM25,1.183,PLANNED_PM
2024-12-13,HM30,0.659,MATERIAL
2024-12-13,HM36,2.228,PLANNED_PM
2024-12-13,HM43,0.977,OPERATOR
2024-12-13,HM47,2.273,ELEC
2024-12-13,HM50,0.408,OPERATOR
2024-12-13,HM56,1.703,MATERIAL
2024-12-14,HM01,1.527,MATERIAL
2024-12-14,HM12,0.652,OPERATOR
2024-12-14,HM13,3.561,PLANNED_PM
2024-12-14,HM14,3.155,ELEC
2024-12-14,HM16,0.521,MATERIAL
2024-12-14,HM20,1.567,OPERATOR
2024-12-14,HM25,0.699,PLANNED_PM
2024-12-14,HM30,1.081,OPERATOR
2024-12-14,HM36,0.758,ELEC
2024-12-14,HM43,1.212,ELEC
2024-12-14,HM47,0.968,PLANNED_PM
2024-12-14,HM50,0.687,MECH
2024-12-14,HM56,0.692,PLANNED_PM
2024-12-15,HM01,0.518,ELEC
2024-12-15,HM12,0.568,PLANNED_PM
2024-12-15,HM13,0.445,ELEC
2024-12-15,HM14,1.266,OPERATOR
2024-12-15,HM16,1.833,PLANNED_PM
2024-12-15,HM20,0.71,MECH
2024-12-15,HM25,1.023,MATERIAL
2024-12-15,HM30,0.889,OPERATOR
2024-12-15,HM36,1.944,PLANNED_PM
2024-12-15,HM43,0.969,OPERATOR
2024-12-15,HM47,0.737,OPERATOR
2024-12-15,HM50,0.237,MATERIAL
2024-12-15,HM56,0.966,MATERIAL
2024-12-16,HM01,0.509,PLANNED_PM
2024-12-16,HM12,1.392,PLANNED_PM
2024-12-16,HM13,1.086,MATERIAL
2024-12-16,HM14,0.956,PLANNED_PM
2024-12-16,HM16,0.642,MECH
2024-12-16,HM20,0.19,PLANNED_PM
2024-12-16,HM25,0.99,MECH
2024-12-16,HM30,0.571,ELEC
2024-12-16,HM36,0.876,OPERATOR
2024-12-16,HM43,0.555,ELEC
2024-12-16,HM47,1.941,OPERATOR
2024-12-16,HM50,0.692,ELEC
2024-12-16,HM56,0.89,MECH
2024-12-17,HM01,1.36,PLANNED_PM
2024-12-17,HM12,0.782,PLANNED_PM
2024-12-17,HM13,0.718,MECH
2024-12-17,HM14,0.932,OPERATOR
2024-12-17,HM16,5.486,OPERATOR
2024-12-17,HM20,2.116,MATERIAL
2024-12-17,HM25,0.643,PLANNED_PM
2024-12-17,HM30,1.268,PLANNED_PM
2024-12-17,HM36,0.472,PLANNED_PM
2024-12-17,HM43,0.894,MATERIAL
2024-12-17,HM47,0.898,OPERATOR
2024-12-17,HM50,1.173,ELEC
2024-12-17,HM56,3.948,MATERIAL
2024-12-18,HM01,0.811,OPERATOR
2024-12-18,HM12,1.661,MATERIAL
2024-12-18,HM13,0.354,ELEC
2024-12-18,HM14,0.734,ELEC
2024-12-18,HM16,1.7,MECH
2024-12-18,HM20,1.995,OPERATOR
2024-12-18,HM25,1.557,PLANNED_PM
2024-12-18,HM30,2.127,PLANNED_PM
2024-12-18,HM36,0.56,ELEC
2024-12-18,HM43,0.478,ELEC
2024-12-18,HM47,0.801,OPERATOR
2024-12-18,HM50,0.514,PLANNED_PM
2024-12-18,HM56,0.365,MATERIAL
2024-12-19,HM01,0.951,MECH
2024-12-19,HM12,1.192,MECH
2024-12-19,HM13,0.377,PLANNED_PM
2024-12-19,HM14,1.639,ELEC
2024-12-19,HM16,1.194,ELEC
2024-12-19,HM20,0.161,ELEC
2024-12-19,HM25,2.512,ELEC
2024-12-19,HM30,0.495,ELEC
2024-12-19,HM36,0.439,OPERATOR
2024-12-19,HM43,2.439,OPERATOR
2024-12-19,HM47,0.623,MECH
2024-12-19,HM50,5.225,OPERATOR
2024-12-19,HM56,4.611,MATERIAL
2024-12-20,HM01,0.74,MECH
2024-12-20,HM12,0.769,PLANNED_PM
2024-12-20,HM13,5.695,PLANNED_PM
2024-12-20,HM14,0.533,MECH
2024-12-20,HM16,1.272,PLANNED_PM
2024-12-20,HM20,1.391,PLANNED_PM
2024-12-20,HM25,0.686,PLANNED_PM
2024-12-20,HM30,0.865,MATERIAL
2024-12-20,HM36,0.999,OPERATOR
2024-12-20,HM43,1.201,ELEC
2024-12-20,HM47,0.641,ELEC
2024-12-20,HM50,0.919,OPERATOR
2024-12-20,HM56,1.484,ELEC
2024-12-21,HM01,0.697,MATERIAL
2024-12-21,HM12,1.015,PLANNED_PM
2024-12-21,HM13,0.794,OPERATOR
2024-12-21,HM14,0.942,MECH
2024-12-21,HM16,0.602,ELEC
2024-12-21,HM20,0.924,MATERIAL
2024-12-21,HM25,0.925,PLANNED_PM
2024-12-21,HM30,1.249,MATERIAL
2024-12-21,HM36,0.764,OPERATOR
2024-12-21,HM43,0.828,PLANNED_PM
2024-12-21,HM47,0.301,ELEC
2024-12-21,HM50,0.859,PLANNED_PM
2024-12-21,HM56,0.59,OPERATOR
2024-12-22,HM01,0.413,MATERIAL
2024-12-22,HM12,0.727,OPERATOR
2024-12-22,HM13,0.514,ELEC
2024-12-22,HM14,1.286,MATERIAL
2024-12-22,HM16,6.215,ELEC
2024-12-22,HM20,0.729,PLANNED_PM
2024-12-22,HM25,0.479,OPERATOR
2024-12-22,HM30,1.074,PLANNED_PM
2024-12-22,HM36,0.696,PLANNED_PM
2024-12-22,HM43,0.383,MATERIAL
2024-12-22,HM47,2.01,ELEC
2024-12-22,HM50,1.184,PLANNED_PM
2024-12-22,HM56,1.101,OPERATOR
2024-12-23,HM01,1.289,ELEC
2024-12-23,HM12,1.896,PLANNED_PM
2024-12-23,HM13,0.981,MATERIAL
2024-12-23,HM14,0.336,MATERIAL
2024-12-23,HM16,0.969,MATERIAL
2024-12-23,HM20,1.355,MECH
2024-12-23,HM25,0.67,MECH
2024-12-23,HM30,1.277,ELEC
2024-12-23,HM36,0.758,MECH
2024-12-23,HM43,1.415,ELEC
2024-12-23,HM47,1.053,MECH
2024-12-23,HM50,1.025,MATERIAL
2024-12-23,HM56,1.049,MATERIAL
2024-12-24,HM01,0.494,PLANNED_PM
2024-12-24,HM12,1.221,MECH
2024-12-24,HM13,1.04,OPERATOR
2024-12-24,HM14,1.033,MATERIAL
2024-12-24,HM16,0.647,MATERIAL
2024-12-24,HM20,0.559,ELEC
2024-12-24,HM25,0.693,ELEC
2024-12-24,HM30,0.729,MECH
2024-12-24,HM36,1.196,OPERATOR
2024-12-24,HM43,1.52,MATERIAL
2024-12-24,HM47,1.217,PLANNED_PM
2024-12-24,HM50,0.904,ELEC
2024-12-24,HM56,0.998,OPERATOR
2024-12-25,HM01,3.67,MECH
2024-12-25,HM12,1.584,ELEC
2024-12-25,HM13,3.065,OPERATOR
2024-12-25,HM14,0.949,ELEC
2024-12-25,HM16,0.395,MECH
2024-12-25,HM20,0.821,MECH
2024-12-25,HM25,0.61,OPERATOR
2024-12-25,HM30,0.322,MECH
2024-12-25,HM36,1.027,OPERATOR
2024-12-25,HM43,0.832,OPERATOR
2024-12-25,HM47,0.873,ELEC
2024-12-25,HM50,0.392,OPERATOR
2024-12-25,HM56,1.034,ELEC
2024-12-26,HM01,0.802,OPERATOR
2024-12-26,HM12,1.618,MECH
2024-12-26,HM13,0.744,MATERIAL
2024-12-26,HM14,0.671,OPERATOR
2024-12-26,HM16,0.663,ELEC
2024-12-26,HM20,0.909,OPERATOR
2024-12-26,HM25,0.962,OPERATOR
2024-12-26,HM30,1.055,PLANNED_PM
2024-12-26,HM36,0.318,PLANNED_PM
2024-12-26,HM43,0.765,MATERIAL
2024-12-26,HM47,1.385,PLANNED_PM
2024-12-26,HM50,1.358,OPERATOR
2024-12-26,HM56,0.594,MECH
2024-12-27,HM01,1.535,ELEC
2024-12-27,HM12,0.372,OPERATOR
2024-12-27,HM13,6.166,ELEC
2024-12-27,HM14,0.564,MECH
2024-12-27,HM16,0.708,MATERIAL
2024-12-27,HM20,1.634,PLANNED_PM
2024-12-27,HM25,0.938,OPERATOR
2024-12-27,HM30,4.629,PLANNED_PM
2024-12-27,HM36,0.52,MATERIAL
2024-12-27,HM43,0.255,MECH
2024-12-27,HM47,0.634,MECH
2024-12-27,HM50,1.116,MATERIAL
2024-12-27,HM56,0.286,ELEC
2024-12-28,HM01,0.864,ELEC
2024-12-28,HM12,1.988,PLANNED_PM
2024-12-28,HM13,0.813,MECH
2024-12-28,HM14,0.574,MATERIAL
2024-12-28,HM16,0.666,MATERIAL
2024-12-28,HM20,0.937,MATERIAL
2024-12-28,HM25,0.406,MATERIAL
2024-12-28,HM30,0.635,MATERIAL
2024-12-28,HM36,0.907,ELEC
2024-12-28,HM43,0.98,OPERATOR
2024-12-28,HM47,0.743,MECH
2024-12-28,HM50,1.774,OPERATOR
2024-12-28,HM56,2.28,MATERIAL
2024-12-29,HM01,1.257,MATERIAL
2024-12-29,HM12,0.883,MECH
2024-12-29,HM13,1.013,MECH
2024-12-29,HM14,6.454,PLANNED_PM
2024-12-29,HM16,0.491,PLANNED_PM
2024-12-29,HM20,0.78,PLANNED_PM
2024-12-29,HM25,0.701,ELEC
2024-12-29,HM30,1.046,MECH
2024-12-29,HM36,1.568,MECH
2024-12-29,HM43,0.885,MATERIAL
2024-12-29,HM47,0.787,OPERATOR
2024-12-29,HM50,0.878,OPERATOR
2024-12-29,HM56,1.353,ELEC
2024-12-30,HM01,0.832,MECH
2024-12-30,HM12,0.919,ELEC
2024-12-30,HM13,0.792,ELEC
2024-12-30,HM14,1.085,MECH
2024-12-30,HM16,0.759,MECH
2024-12-30,HM20,0.561,ELEC
2024-12-30,HM25,1.838,PLANNED_PM
2024-12-30,HM30,1.294,PLANNED_PM
2024-12-30,HM36,6.405,OPERATOR
2024-12-30,HM43,0.699,ELEC
2024-12-30,HM47,2.297,OPERATOR
2024-12-30,HM50,2.826,OPERATOR
2024-12-30,HM56,0.942,MATERIAL
2024-12-31,HM01,0.536,PLANNED_PM
2024-12-31,HM12,5.481,OPERATOR
2024-12-31,HM13,1.511,ELEC
2024-12-31,HM14,1.561,PLANNED_PM
2024-12-31,HM16,2.025,MECH
2024-12-31,HM20,1.59,ELEC
2024-12-31,HM25,0.522,ELEC
2024-12-31,HM30,0.33,MATERIAL
2024-12-31,HM36,0.331,PLANNED_PM
2024-12-31,HM43,1.03,ELEC
2024-12-31,HM47,1.504,MATERIAL
2024-12-31,HM50,3.247,MATERIAL
2024-12-31,HM56,1.067,OPERATOR
2025-01-01,HM01,0.455,ELEC
2025-01-01,HM12,1.077,OPERATOR
2025-01-01,HM13,1.02,MATERIAL
2025-01-01,HM14,5.457,OPERATOR
2025-01-01,HM16,1.758,MECH
2025-01-01,HM20,0.709,MECH
2025-01-01,HM25,2.658,OPERATOR
2025-01-01,HM30,1.038,ELEC
2025-01-01,HM36,0.795,PLANNED_PM
2025-01-01,HM43,0.716,ELEC
2025-01-01,HM47,0.813,PLANNED_PM
2025-01-01,HM50,0.807,OPERATOR
2025-01-01,HM56,0.948,PLANNED_PM
2025-01-02,HM01,0.768,MATERIAL
2025-01-02,HM12,4.674,OPERATOR
2025-01-02,HM13,0.489,OPERATOR
2025-01-02,HM14,1.142,MATERIAL
2025-01-02,HM16,0.403,MATERIAL
2025-01-02,HM20,2.512,PLANNED_PM
2025-01-02,HM25,1.007,MECH
2025-01-02,HM30,2.039,MECH
2025-01-02,HM36,0.671,OPERATOR
2025-01-02,HM43,0.834,ELEC
2025-01-02,HM47,1.312,MATERIAL
2025-01-02,HM50,6.192,MATERIAL
2025-01-02,HM56,1.226,PLANNED_PM
