date,line,hours_planned,hours_down,chg_hours,sanitation_hours,break_hours
2024-11-24,HM20,24.0,0.772,3.041,0.79,1.0
2024-11-24,HM25,24.0,0.982,1.767,0.353,1.0
2024-11-24,HM30,24.0,1.279,0.0,0.525,1.0
2024-11-24,HM36,24.0,0.49,1.03,0.208,1.0
2024-11-24,HM43,24.0,0.739,1.818,0.716,1.0
2024-11-24,HM47,24.0,0.241,0.0,1.034,1.0
2024-11-24,HM50,24.0,0.788,0.0,0.346,1.0
2024-11-24,HM56,24.0,0.342,0.877,0.855,1.0
2024-11-25,HM01,24.0,0.979,0.647,0.337,1.5
2024-11-25,HM12,24.0,1.168,1.082,0.711,1.5
2024-11-25,HM13,24.0,0.475,1.078,0.576,1.5
2024-11-25,HM14,24.0,0.603,0.386,0.487,1.5
2024-11-25,HM16,24.0,0.607,0.577,0.895,1.5
2024-11-25,HM20,24.0,0.506,0.365,0.157,1.5
2024-11-25,HM25,24.0,0.905,1.839,0.452,1.5
2024-11-25,HM30,24.0,0.616,2.066,0.246,1.5
2024-11-25,HM36,24.0,0.953,1.265,0.704,1.5
2024-11-25,HM43,24.0,0.821,0.24,0.423,1.5
2024-11-25,HM47,24.0,0.549,0.686,0.217,1.5
2024-11-25,HM50,24.0,0.789,0.0,0.68,1.5
2024-11-25,HM56,24.0,0.482,1.794,0.238,1.5
2024-11-26,HM01,24.0,1.166,2.554,0.409,1.5
2024-11-26,HM12,24.0,0.767,0.47,0.965,1.5
2024-11-26,HM13,24.0,2.343,2.993,0.666,1.5
2024-11-26,HM14,24.0,1.25,3.242,0.62,1.5
2024-11-26,HM16,24.0,1.004,2.008,0.456,1.5
2024-11-26,HM20,24.0,2.177,1.207,0.615,1.5
2024-11-26,HM25,24.0,1.705,1.522,0.837,1.5
2024-11-26,HM30,24.0,0.446,2.15,0.648,1.5
2024-11-26,HM36,24.0,0.423,1.01,0.875,1.5
2024-11-26,HM43,24.0,0.453,1.378,0.416,1.5
2024-11-26,HM47,24.0,3.376,0.722,0.313,1.5
2024-11-26,HM50,24.0,0.769,2.692,0.483,1.5
2024-11-26,HM56,24.0,5.551,3.355,0.427,1.5
2024-11-27,HM01,24.0,1.15,0.354,0.322,1.5
2024-11-27,HM12,24.0,1.142,2.124,0.47,1.5
2024-11-27,HM13,24.0,0.539,3.159,0.604,1.5
2024-11-27,HM14,24.0,1.743,1.549,0.263,1.5
2024-11-27,HM16,24.0,1.268,1.258,0.497,1.5
2024-11-27,HM20,24.0,0.44,0.444,0.407,1.5
2024-11-27,HM25,24.0,0.959,1.8,0.573,1.5
2024-11-27,HM30,24.0,1.29,1.085,0.343,1.5
2024-11-27,HM36,24.0,1.001,3.854,0.461,1.5
2024-11-27,HM43,24.0,0.834,0.529,0.52,1.5
2024-11-27,HM47,24.0,0.915,2.0,0.3,1.5
2024-11-27,HM50,24.0,1.038,0.808,0.479,1.5
2024-11-27,HM56,24.0,0.569,4.224,0.461,1.5
2024-11-28,HM01,24.0,4.643,2.244,0.831,1.5
2024-11-28,HM12,24.0,1.255,0.591,0.591,1.5
2024-11-28,HM13,24.0,0.713,1.619,0.449,1.5
2024-11-28,HM14,24.0,1.353,3.713,0.622,1.5
2024-11-28,HM16,24.0,0.901,3.59,0.355,1.5
2024-11-28,HM20,24.0,0.4,0.421,0.586,1.5
2024-11-28,HM25,24.0,0.263,2.814,0.252,1.5
2024-11-28,HM30,24.0,0.382,2.36,0.476,1.5
2024-11-28,HM36,24.0,0.55,1.07,0.439,1.5
2024-11-28,HM43,24.0,0.891,1.503,0.589,1.5
2024-11-28,HM47,24.0,0.645,2.643,0.519,1.5
2024-11-28,HM50,24.0,0.967,2.022,1.524,1.5
2024-11-28,HM56,24.0,0.316,0.411,0.599,1.5
2024-11-29,HM01,24.0,0.775,0.799,0.313,1.5
2024-11-29,HM12,24.0,1.105,2.134,0.532,1.5
2024-11-29,HM13,24.0,0.335,0.0,1.155,1.5
2024-11-29,HM14,24.0,0.738,0.674,0.303,1.5
2024-11-29,HM16,24.0,0.901,1.46,0.205,1.5
2024-11-29,HM20,24.0,0.485,0.987,0.346,1.5
2024-11-29,HM25,24.0,0.939,4.257,0.374,1.5
2024-11-29,HM30,24.0,0.635,3.301,0.593,1.5
2024-11-29,HM36,24.0,1.342,2.842,0.65,1.5
2024-11-29,HM43,24.0,0.585,2.213,0.524,1.5
2024-11-29,HM47,24.0,3.533,4.0,1.172,1.5
2024-11-29,HM50,24.0,0.846,0.0,0.956,1.5
2024-11-29,HM56,24.0,0.549,2.489,0.24,1.5
2024-11-30,HM01,24.0,1.019,4.299,0.661,1.0
2024-11-30,HM12,24.0,0.594,2.142,0.274,1.0
2024-11-30,HM13,24.0,1.053,6.379,0.671,1.0
2024-11-30,HM14,24.0,1.133,4.219,0.443,1.0
2024-11-30,HM16,24.0,1.493,0.708,0.396,1.0
2024-11-30,HM20,24.0,1.732,0.0,0.372,1.0
2024-11-30,HM25,24.0,0.618,4.268,0.464,1.0
2024-11-30,HM30,24.0,0.902,2.221,0.194,1.0
2024-11-30,HM36,24.0,3.444,2.297,0.401,1.0
2024-11-30,HM43,24.0,0.542,1.036,0.634,1.0
2024-11-30,HM47,24.0,0.385,0.422,0.313,1.0
2024-11-30,HM50,24.0,0.447,0.61,0.578,1.0
2024-11-30,HM56,24.0,0.732,1.09,0.718,1.0
2024-12-01,HM01,24.0,0.316,1.32,0.366,1.0
2024-12-01,HM12,24.0,0.872,2.794,0.726,1.0
2024-12-01,HM13,24.0,0.356,0.0,0.264,1.0
2024-12-01,HM14,24.0,1.629,1.057,0.33,1.0
2024-12-01,HM16,24.0,1.634,3.148,0.531,1.0
2024-12-01,HM20,24.0,0.432,6.57,0.792,1.0
2024-12-01,HM25,24.0,1.378,0.0,0.538,1.0
2024-12-01,HM30,24.0,0.379,1.157,0.337,1.0
2024-12-01,HM36,24.0,0.953,0.0,0.631,1.0
2024-12-01,HM43,24.0,1.205,0.941,0.564,1.0
2024-12-01,HM47,24.0,0.346,0.212,0.538,1.0
2024-12-01,HM50,24.0,0.256,1.849,0.683,1.0
2024-12-01,HM56,24.0,0.602,0.671,0.841,1.0
2024-12-02,HM01,24.0,0.419,0.559,0.76,1.5
2024-12-02,HM12,24.0,1.915,2.551,0.24,1.5
2024-12-02,HM13,24.0,0.605,2.55,0.261,1.5
2024-12-02,HM14,24.0,0.952,2.879,0.403,1.5
2024-12-02,HM16,24.0,0.366,4.276,0.597,1.5
2024-12-02,HM20,24.0,1.316,0.668,0.785,1.5
2024-12-02,HM25,24.0,0.929,3.027,0.598,1.5
2024-12-02,HM30,24.0,1.479,1.404,0.446,1.5
2024-12-02,HM36,24.0,3.566,1.046,0.639,1.5
2024-12-02,HM43,24.0,1.141,4.299,0.458,1.5
2024-12-02,HM47,24.0,1.37,2.066,0.365,1.5
2024-12-02,HM50,24.0,6.49,1.283,0.809,1.5
2024-12-02,HM56,24.0,0.679,3.727,0.337,1.5
2024-12-03,HM01,24.0,0.88,0.656,0.366,1.5
2024-12-03,HM12,24.0,1.062,2.658,0.554,1.5
2024-12-03,HM13,24.0,0.584,2.858,0.412,1.5
2024-12-03,HM14,24.0,1.178,4.438,0.813,1.5
2024-12-03,HM16,24.0,0.958,1.2,0.884,1.5
2024-12-03,HM20,24.0,0.857,1.082,0.432,1.5
2024-12-03,HM25,24.0,0.474,0.901,0.82,1.5
2024-12-03,HM30,24.0,1.564,2.674,0.434,1.5
2024-12-03,HM36,24.0,1.066,1.158,0.698,1.5
2024-12-03,HM43,24.0,1.273,0.0,0.664,1.5
2024-12-03,HM47,24.0,1.022,2.724,0.402,1.5
2024-12-03,HM50,24.0,0.845,0.613,1.181,1.5
2024-12-03,HM56,24.0,0.9,5.645,1.267,1.5
2024-12-04,HM01,24.0,0.417,0.92,0.292,1.5
2024-12-04,HM12,24.0,1.892,1.069,0.448,1.5
2024-12-04,HM13,24.0,0.651,2.113,0.633,1.5
2024-12-04,HM14,24.0,0.63,2.998,0.638,1.5
2024-12-04,HM16,24.0,0.623,0.2,0.485,1.5
2024-12-04,HM20,24.0,1.05,3.462,0.488,1.5
2024-12-04,HM25,24.0,0.617,1.111,0.749,1.5
2024-12-04,HM30,24.0,1.78,0.749,1.386,1.5
2024-12-04,HM36,24.0,0.579,3.136,0.518,1.5
2024-12-04,HM43,24.0,0.37,1.994,0.619,1.5
2024-12-04,HM47,24.0,1.063,1.012,0.406,1.5
2024-12-04,HM50,24.0,1.932,0.9,0.576,1.5
2024-12-04,HM56,24.0,0.824,1.755,0.622,1.5
2024-12-05,HM01,24.0,1.133,0.167,0.531,1.5
2024-12-05,HM12,24.0,0.177,6.641,0.542,1.5
2024-12-05,HM13,24.0,3.335,0.925,0.262,1.5
2024-12-05,HM14,24.0,0.314,2.132,0.7,1.5
2024-12-05,HM16,24.0,0.636,1.534,0.359,1.5
2024-12-05,HM20,24.0,5.438,3.561,0.604,1.5
2024-12-05,HM25,24.0,0.881,3.493,0.478,1.5
2024-12-05,HM30,24.0,0.365,2.0,0.785,1.5
2024-12-05,HM36,24.0,2.341,1.779,0.676,1.5
2024-12-05,HM43,24.0,2.77,1.324,0.627,1.5
2024-12-05,HM47,24.0,1.05,1.241,0.332,1.5
2024-12-05,HM50,24.0,1.464,0.912,0.502,1.5
2024-12-05,HM56,24.0,1.449,3.073,0.705,1.5
2024-12-06,HM01,24.0,0.749,1.67,0.453,1.5
2024-12-06,HM12,24.0,0.653,0.987,0.597,1.5
2024-12-06,HM13,24.0,1.341,3.207,0.453,1.5
2024-12-06,HM14,24.0,1.391,1.799,0.473,1.5
2024-12-06,HM16,24.0,0.549,3.321,0.604,1.5
2024-12-06,HM20,24.0,1.97,2.332,0.513,1.5
2024-12-06,HM25,24.0,0.532,1.461,0.877,1.5
2024-12-06,HM30,24.0,0.592,0.633,0.426,1.5
2024-12-06,HM36,24.0,0.422,0.692,1.032,1.5
2024-12-06,HM43,24.0,0.933,1.312,0.81,1.5
2024-12-06,HM47,24.0,1.14,2.513,0.351,1.5
2024-12-06,HM50,24.0,0.456,1.803,0.64,1.5
2024-12-06,HM56,24.0,0.603,2.199,0.417,1.5
2024-12-07,HM01,24.0,1.009,1.277,0.419,1.0
2024-12-07,HM12,24.0,0.238,3.303,0.307,1.0
2024-12-07,HM13,24.0,0.643,0.558,0.472,1.0
2024-12-07,HM14,24.0,3.343,1.793,0.631,1.0
2024-12-07,HM16,24.0,0.343,0.415,0.505,1.0
2024-12-07,HM20,24.0,1.256,2.35,0.452,1.0
2024-12-07,HM25,24.0,0.752,2.874,0.417,1.0
2024-12-07,HM30,24.0,0.799,3.275,0.914,1.0
2024-12-07,HM36,24.0,0.931,3.549,0.692,1.0
2024-12-07,HM43,24.0,0.896,3.334,0.389,1.0
2024-12-07,HM47,24.0,0.545,0.425,0.234,1.0
2024-12-07,HM50,24.0,0.267,0.933,0.737,1.0
2024-12-07,HM56,24.0,0.392,0.51,0.689,1.0
2024-12-08,HM01,24.0,0.591,0.568,1.044,1.0
2024-12-08,HM12,24.0,1.087,2.174,0.61,1.0
2024-12-08,HM13,24.0,1.206,1.256,0.318,1.0
2024-12-08,HM14,24.0,0.516,1.38,0.571,1.0
2024-12-08,HM16,24.0,0.56,1.836,0.514,1.0
2024-12-08,HM20,24.0,0.882,0.0,0.778,1.0
2024-12-08,HM25,24.0,0.535,1.67,0.749,1.0
2024-12-08,HM30,24.0,6.197,2.147,0.656,1.0
2024-12-08,HM36,24.0,0.393,2.95,0.326,1.0
2024-12-08,HM43,24.0,1.99,0.584,0.52,1.0
2024-12-08,HM47,24.0,1.163,0.496,0.476,1.0
2024-12-08,HM50,24.0,2.477,0.737,1.32,1.0
2024-12-08,HM56,24.0,0.62,1.409,0.434,1.0
2024-12-09,HM01,24.0,0.424,0.58,0.732,1.5
2024-12-09,HM12,24.0,1.447,0.814,0.243,1.5
2024-12-09,HM13,24.0,1.329,1.387,0.521,1.5
2024-12-09,HM14,24.0,0.709,2.316,0.458,1.5
2024-12-09,HM16,24.0,0.751,1.608,0.302,1.5
2024-12-09,HM20,24.0,0.94,0.687,0.385,1.5
2024-12-09,HM25,24.0,0.415,3.526,0.483,1.5
2024-12-09,HM30,24.0,2.506,0.414,0.303,1.5
2024-12-09,HM36,24.0,0.262,0.959,0.416,1.5
2024-12-09,HM43,24.0,0.642,1.297,0.268,1.5
2024-12-09,HM47,24.0,1.367,0.854,0.854,1.5
2024-12-09,HM50,24.0,0.649,0.2,0.612,1.5
2024-12-09,HM56,24.0,3.161,0.0,0.373,1.5
2024-12-10,HM01,24.0,0.819,2.638,0.501,1.5
2024-12-10,HM12,24.0,2.151,5.515,0.716,1.5
2024-12-10,HM13,24.0,1.023,1.731,0.589,1.5
2024-12-10,HM14,24.0,1.059,5.211,0.937,1.5
2024-12-10,HM16,24.0,0.602,3.262,0.799,1.5
2024-12-10,HM20,24.0,0.725,0.33,0.831,1.5
2024-12-10,HM25,24.0,0.249,0.0,0.255,1.5
2024-12-10,HM30,24.0,0.732,0.0,1.597,1.5
2024-12-10,HM36,24.0,0.739,0.0,0.514,1.5
2024-12-10,HM43,24.0,2.584,2.908,0.931,1.5
2024-12-10,HM47,24.0,0.366,2.294,0.531,1.5
2024-12-10,HM50,24.0,0.42,2.691,0.519,1.5
2024-12-10,HM56,24.0,0.478,0.167,0.411,1.5
2024-12-11,HM01,24.0,1.198,5.594,0.328,1.5
2024-12-11,HM12,24.0,0.607,1.45,0.398,1.5
2024-12-11,HM13,24.0,0.793,1.952,0.403,1.5
2024-12-11,HM14,24.0,0.313,0.862,1.016,1.5
2024-12-11,HM16,24.0,0.876,1.036,0.347,1.5
2024-12-11,HM20,24.0,4.808,3.13,0.616,1.5
2024-12-11,HM25,24.0,0.552,1.447,0.437,1.5
2024-12-11,HM30,24.0,0.772,1.269,0.425,1.5
2024-12-11,HM36,24.0,0.405,1.536,0.236,1.5
2024-12-11,HM43,24.0,0.644,2.994,0.946,1.5
2024-12-11,HM47,24.0,0.987,4.626,0.392,1.5
2024-12-11,HM50,24.0,1.769,0.773,0.742,1.5
2024-12-11,HM56,24.0,0.774,4.511,0.64,1.5
2024-12-12,HM01,24.0,0.848,0.695,0.805,1.5
2024-12-12,HM12,24.0,0.711,3.656,0.618,1.5
2024-12-12,HM13,24.0,2.815,7.2,0.405,1.5
2024-12-12,HM14,24.0,0.945,0.392,0.337,1.5
2024-12-12,HM16,24.0,0.723,3.542,0.453,1.5
2024-12-12,HM20,24.0,1.466,1.784,0.649,1.5
2024-12-12,HM25,24.0,0.552,3.856,0.55,1.5
2024-12-12,HM30,24.0,0.86,1.536,0.412,1.5
2024-12-12,HM36,24.0,2.216,2.866,0.447,1.5
2024-12-12,HM43,24.0,1.116,5.193,0.548,1.5
2024-12-12,HM47,24.0,1.56,0.692,0.526,1.5
2024-12-12,HM50,24.0,3.835,0.571,0.593,1.5
2024-12-12,HM56,24.0,0.715,1.08,0.56,1.5
2024-12-13,HM01,24.0,2.583,0.0,0.375,1.5
2024-12-13,HM12,24.0,1.478,0.941,1.075,1.5
2024-12-13,HM13,24.0,0.59,1.05,0.562,1.5
2024-12-13,HM14,24.0,0.826,3.318,0.577,1.5
2024-12-13,HM16,24.0,0.841,6.434,0.391,1.5
2024-12-13,HM20,24.0,1.069,2.36,0.299,1.5
2024-12-13,HM25,24.0,1.183,0.246,1.099,1.5
2024-12-13,HM30,24.0,0.659,2.153,0.634,1.5
2024-12-13,HM36,24.0,2.228,1.572,0.506,1.5
2024-12-13,HM43,24.0,0.977,0.0,0.501,1.5
2024-12-13,HM47,24.0,2.273,1.334,0.533,1.5
2024-12-13,HM50,24.0,0.408,1.164,0.478,1.5
2024-12-13,HM56,24.0,1.703,0.399,0.962,1.5
2024-12-14,HM01,24.0,1.527,0.93,0.745,1.0
2024-12-14,HM12,24.0,0.652,0.167,0.694,1.0
2024-12-14,HM13,24.0,3.561,2.041,0.29,1.0
2024-12-14,HM14,24.0,3.155,3.016,0.616,1.0
2024-12-14,HM16,24.0,0.521,7.2,0.643,1.0
2024-12-14,HM20,24.0,1.567,2.765,1.471,1.0
2024-12-14,HM25,24.0,0.699,0.0,0.414,1.0
2024-12-14,HM30,24.0,1.081,0.742,0.27,1.0
2024-12-14,HM36,24.0,0.758,4.107,0.452,1.0
2024-12-14,HM43,24.0,1.212,1.464,0.301,1.0
2024-12-14,HM47,24.0,0.968,0.929,0.399,1.0
2024-12-14,HM50,24.0,0.687,0.38,0.403,1.0
2024-12-14,HM56,24.0,0.692,0.217,0.458,1.0
2024-12-15,HM01,24.0,0.518,1.355,0.36,1.0
2024-12-15,HM12,24.0,0.568,2.605,0.873,1.0
2024-12-15,HM13,24.0,0.445,1.619,0.455,1.0
2024-12-15,HM14,24.0,1.266,1.138,0.83,1.0
2024-12-15,HM16,24.0,1.833,0.605,0.322,1.0
2024-12-15,HM20,24.0,0.71,0.897,0.759,1.0
2024-12-15,HM25,24.0,1.023,5.642,0.53,1.0
2024-12-15,HM30,24.0,0.889,1.002,0.35,1.0
2024-12-15,HM36,24.0,1.944,0.0,0.228,1.0
2024-12-15,HM43,24.0,0.969,1.069,0.483,1.0
2024-12-15,HM47,24.0,0.737,2.269,0.349,1.0
2024-12-15,HM50,24.0,0.237,1.183,0.565,1.0
2024-12-15,HM56,24.0,0.966,0.389,0.978,1.0
2024-12-16,HM01,24.0,0.509,2.93,1.288,1.5
2024-12-16,HM12,24.0,1.392,2.875,0.659,1.5
2024-12-16,HM13,24.0,1.086,3.713,0.268,1.5
2024-12-16,HM14,24.0,0.956,4.476,0.907,1.5
2024-12-16,HM16,24.0,0.642,2.551,0.778,1.5
2024-12-16,HM20,24.0,0.19,1.201,0.28,1.5
2024-12-16,HM25,24.0,0.99,2.327,0.628,1.5
2024-12-16,HM30,24.0,0.571,3.881,0.541,1.5
2024-12-16,HM36,24.0,0.876,2.742,0.926,1.5
2024-12-16,HM43,24.0,0.555,1.652,0.636,1.5
2024-12-16,HM47,24.0,1.941,1.61,0.406,1.5
2024-12-16,HM50,24.0,0.692,0.836,0.709,1.5
2024-12-16,HM56,24.0,0.89,1.164,0.691,1.5
2024-12-17,HM01,24.0,1.36,0.844,0.342,1.5
2024-12-17,HM12,24.0,0.782,0.407,0.41,1.5
2024-12-17,HM13,24.0,0.718,1.978,0.578,1.5
2024-12-17,HM14,24.0,0.932,0.573,0.478,1.5
2024-12-17,HM16,24.0,5.486,3.156,0.51,1.5
2024-12-17,HM20,24.0,2.116,1.972,0.554,1.5
2024-12-17,HM25,24.0,0.643,0.675,0.539,1.5
2024-12-17,HM30,24.0,1.268,2.466,0.267,1.5
2024-12-17,HM36,24.0,0.472,2.58,0.944,1.5
2024-12-17,HM43,24.0,0.894,1.461,0.311,1.5
2024-12-17,HM47,24.0,0.898,2.602,0.414,1.5
2024-12-17,HM50,24.0,1.173,0.847,0.263,1.5
2024-12-17,HM56,24.0,3.948,1.005,0.38,1.5
2024-12-18,HM01,24.0,0.811,1.692,0.52,1.5
2024-12-18,HM12,24.0,1.661,0.183,0.495,1.5
2024-12-18,HM13,24.0,0.354,0.0,1.23,1.5
2024-12-18,HM14,24.0,0.734,2.901,0.614,1.5
2024-12-18,HM16,24.0,1.7,2.345,0.76,1.5
2024-12-18,HM20,24.0,1.995,0.317,0.713,1.5
2024-12-18,HM25,24.0,1.557,2.167,0.305,1.5
