date,line,planned_capacity_units
2026-05-16,HM30,350.07055244627816
2026-05-17,HM30,343.12104866186587
2026-05-18,HM30,345.9451612557563
2026-05-19,HM30,347.9298801223569
2026-05-20,HM30,349.924920667984
2026-05-21,HM30,346.1901535374318
2026-05-22,HM30,349.1570559392061
2026-05-23,HM30,349.1344939118468
2026-05-24,HM30,346.0259281227392
2026-05-25,HM30,343.88357129594937
2026-05-26,HM30,347.74348121088167
2026-05-27,HM30,345.92423745668987
2026-05-28,HM30,345.1862051186163
2026-05-29,HM30,346.5184046129356
2026-05-30,HM30,343.27916941810423
2026-05-31,HM30,343.84265273137163
2026-06-01,HM30,345.8194768006923
2026-06-02,HM30,344.88832828630257
2026-06-03,HM30,343.8841905465571
2026-06-04,HM30,344.70937516562475
2026-06-05,HM30,349.1325764215302
2026-06-06,HM30,344.995298365677
2026-06-07,HM30,347.3700563541489
2026-06-08,HM30,346.58509053202334
2026-06-09,HM30,345.11150967294
2026-06-10,HM30,345.25805897852575
2026-06-11,HM30,341.01324618979083
2026-06-12,HM30,346.4509220134728
2026-06-13,HM30,346.89414937710023
2026-05-15,HM36,208.81004337119208
2026-05-16,HM36,209.13997841352406
2026-05-17,HM36,204.6057799696519
2026-05-18,HM36,207.58024986683253
2026-05-19,HM36,207.22733390047947
2026-05-20,HM36,205.86733999741477
2026-05-21,HM36,200.8574060766072
2026-05-22,HM36,209.0970569102118
2026-05-23,HM36,205.87738014728112
2026-05-24,HM36,205.88039791187066
2026-05-25,HM36,206.77750291730246
2026-05-26,HM36,204.9437661824419
2026-05-27,HM36,207.56796655340588
2026-05-28,HM36,207.00871737256531
2026-05-29,HM36,207.4816184146875
2026-05-30,HM36,206.68690959358253
2026-05-31,HM36,207.23558236431137
2026-06-01,HM36,207.2375844109969
2026-06-02,HM36,206.32601722181448
2026-06-03,HM36,209.19207545302095
2026-06-04,HM36,205.72998150484565
2026-06-05,HM36,205.25052586684993
2026-06-06,HM36,206.6041451750433
2026-06-07,HM36,207.58782732385552
2026-06-08,HM36,206.40260208485762
2026-06-09,HM36,210.0724572283002
2026-06-10,HM36,205.11360528012023
2026-06-11,HM36,206.8550786286449
2026-06-12,HM36,210.2863231964776
2026-06-13,HM36,206.63085994975296
2026-05-15,HM43,337.68462506492756
2026-05-16,HM43,334.2637539471564
2026-05-17,HM43,335.810652293791
2026-05-18,HM43,337.8858278061682
2026-05-19,HM43,337.5790411309049
2026-05-20,HM43,335.27281810517064
2026-05-21,HM43,336.52940270456713
2026-05-22,HM43,334.313206657627
2026-05-23,HM43,338.18903307795165
2026-05-24,HM43,334.92063269920624
2026-05-25,HM43,335.63774889965515
2026-05-26,HM43,336.4368790671264
2026-05-27,HM43,337.0617400822059
2026-05-28,HM43,336.8231709751776
2026-05-29,HM43,336.3171424486909
2026-05-30,HM43,336.9063179115984
2026-05-31,HM43,336.8914415885194
2026-06-01,HM43,337.07299799489556
2026-06-02,HM43,336.56860903525404
2026-06-03,HM43,336.1898823803651
2026-06-04,HM43,335.22887440580746
2026-06-05,HM43,337.3222850392352
2026-06-06,HM43,336.29514171618484
2026-06-07,HM43,335.9931372973637
2026-06-08,HM43,340.10189711361784
2026-06-09,HM43,332.42298496701653
2026-06-10,HM43,336.2609817717182
2026-06-11,HM43,334.13152156092053
2026-06-12,HM43,336.66634640027723
2026-06-13,HM43,335.92959911218065
2026-05-15,HM47,141.57044010262896
2026-05-16,HM47,142.93258928696085
2026-05-17,HM47,139.93995346062496
2026-05-18,HM47,143.95108615437533
2026-05-19,HM47,143.089711776568
2026-05-20,HM47,146.39866293498756
2026-05-21,HM47,143.3817605307282
2026-05-22,HM47,142.95841508896956
2026-05-23,HM47,143.39706340447518
2026-05-24,HM47,143.0450974233539
2026-05-25,HM47,141.78721980578155
2026-05-26,HM47,144.09317838738815
2026-05-27,HM47,138.6261264273809
2026-05-28,HM47,144.2927589851177
2026-05-29,HM47,140.3815373979399
2026-05-30,HM47,143.87849149997817
2026-05-31,HM47,144.5220256089953
2026-06-01,HM47,144.25569486056818
2026-06-02,HM47,140.40857220491432
2026-06-03,HM47,142.1514162887571
2026-06-04,HM47,143.55957909704898
2026-06-05,HM47,142.71965631037608
2026-06-06,HM47,143.11612241613787
2026-06-07,HM47,143.32576687444922
2026-06-08,HM47,143.93421770876193
2026-06-09,HM47,144.4785632437361
2026-06-10,HM47,142.84166319343524
2026-06-11,HM47,140.3286480840599
2026-06-12,HM47,142.61075544586748
2026-06-13,HM47,143.66591713636183
2026-05-15,HM50,149.67793710308223
2026-05-16,HM50,147.7610956612923
2026-05-17,HM50,153.63887006849617
2026-05-18,HM50,150.55737912346837
2026-05-19,HM50,149.64621010737358
2026-05-20,HM50,150.83690714828532
2026-05-21,HM50,150.7027356343737
2026-05-22,HM50,148.99300471748822
2026-05-23,HM50,149.62222776859505
2026-05-24,HM50,150.35559284140794
2026-05-25,HM50,149.08373080779725
2026-05-26,HM50,149.1863601020798
2026-05-27,HM50,150.88011707857137
2026-05-28,HM50,149.96458944006815
2026-05-29,HM50,150.10404627932985
2026-05-30,HM50,149.90720773468655
2026-05-31,HM50,150.93745115319177
2026-06-01,HM50,150.20797202145667
2026-06-02,HM50,150.3677039208957
2026-06-03,HM50,150.3553842351514
2026-06-04,HM50,147.88175942796596
2026-06-05,HM50,150.07834736586278
2026-06-06,HM50,153.12404252932876
2026-06-07,HM50,150.1776961405463
2026-06-08,HM50,147.34038325389355
2026-06-09,HM50,150.5871301777327
2026-06-10,HM50,151.13016188013177
2026-06-11,HM50,150.04730708200867
2026-06-12,HM50,148.76555419983367
2026-06-13,HM50,151.00436029213216
2026-05-15,HM56,172.00222485691972
2026-05-16,HM56,173.24117291455212
2026-05-17,HM56,169.93211788488574
2026-05-18,HM56,171.1000601883551
2026-05-19,HM56,174.95335798242053
2026-05-20,HM56,169.49036632588778
2026-05-21,HM56,171.77898538937586
2026-05-22,HM56,175.63246989549006
2026-05-23,HM56,172.9414553582601
2026-05-24,HM56,169.99533157230985
2026-05-25,HM56,173.93629514843897
2026-05-26,HM56,173.5911797396006
2026-05-27,HM56,174.18961706063106
2026-05-28,HM56,170.09818539920602
2026-05-29,HM56,173.3563677387129
2026-05-30,HM56,171.23281733301602
2026-05-31,HM56,171.06066242039063
2026-06-01,HM56,172.7352970128353
2026-06-02,HM56,172.92675704906435
2026-06-03,HM56,173.46693911863943
2026-06-04,HM56,174.02694567760406
2026-06-05,HM56,172.93842240758917
2026-06-06,HM56,173.7334743297578
2026-06-07,HM56,174.39716607492187
2026-06-08,HM56,174.22236152486857
2026-06-09,HM56,171.34465705965354
2026-06-10,HM56,171.2185554833593
2026-06-11,HM56,172.70846718765435
2026-06-12,HM56,174.09281358365445
2026-06-13,HM56,171.48123846806106
