date,line,gal_ord,gal_ship,fill_rate_same_day,cum_ord,cum_ship,fill_rate_cumulative
2025-02-28,P3,105.0,105.0,1.0,2740.0,2740.0,1.0
2025-03-01,P3,105.0,105.0,1.0,2845.0,2845.0,1.0
2025-03-04,P3,65.0,65.0,1.0,2910.0,2910.0,1.0
2025-03-05,P3,180.0,180.0,1.0,3090.0,3090.0,1.0
2025-03-06,P3,50.0,50.0,1.0,3140.0,3140.0,1.0
2025-03-07,P3,45.0,45.0,1.0,3185.0,3185.0,1.0
2025-03-10,P3,160.0,160.0,1.0,3345.0,3345.0,1.0
2025-03-11,P3,40.0,40.0,1.0,3385.0,3385.0,1.0
2025-03-15,P3,80.0,80.0,1.0,3465.0,3465.0,1.0
2025-03-16,P3,40.0,40.0,1.0,3505.0,3505.0,1.0
2025-03-17,P3,270.0,270.0,1.0,3775.0,3775.0,1.0
2025-03-18,P3,185.0,185.0,1.0,3960.0,3960.0,1.0
2025-03-19,P3,40.0,40.0,1.0,4000.0,4000.0,1.0
2025-03-20,P3,60.0,60.0,1.0,4060.0,4060.0,1.0
2025-03-21,P3,140.0,140.0,1.0,4200.0,4200.0,1.0
2025-03-22,P3,65.0,65.0,1.0,4265.0,4265.0,1.0
2025-03-23,P3,35.0,35.0,1.0,4300.0,4300.0,1.0
2025-03-24,P3,50.0,50.0,1.0,4350.0,4350.0,1.0
2025-03-25,P3,80.0,80.0,1.0,4430.0,4430.0,1.0
2025-03-26,P3,30.0,30.0,1.0,4460.0,4460.0,1.0
2025-03-28,P3,60.0,60.0,1.0,4520.0,4520.0,1.0
2025-03-30,P3,120.0,120.0,1.0,4640.0,4640.0,1.0
2025-01-01,Q1,154.5,0.0,0.0,154.5,0.0,0.0
2025-01-02,Q1,25.25,179.75,7.118811881188119,179.75,179.75,1.0
2025-01-03,Q1,34.75,34.75,1.0,214.5,214.5,1.0
2025-01-04,Q1,16.5,16.5,1.0,231.0,231.0,1.0
2025-01-05,Q1,124.0,124.0,1.0,355.0,355.0,1.0
2025-01-06,Q1,22.75,22.75,1.0,377.75,377.75,1.0
2025-01-08,Q1,184.5,184.5,1.0,562.25,562.25,1.0
2025-01-10,Q1,206.75,206.75,1.0,769.0,769.0,1.0
2025-01-11,Q1,176.25,176.25,1.0,945.25,945.25,1.0
2025-01-14,Q1,31.5,31.5,1.0,976.75,976.75,1.0
2025-01-15,Q1,83.5,83.5,1.0,1060.25,1060.25,1.0
2025-01-16,Q1,81.75,81.75,1.0,1142.0,1142.0,1.0
2025-01-17,Q1,83.25,83.25,1.0,1225.25,1225.25,1.0
2025-01-18,Q1,27.5,27.5,1.0,1252.75,1252.75,1.0
2025-01-19,Q1,139.0,139.0,1.0,1391.75,1391.75,1.0
2025-01-21,Q1,156.0,156.0,1.0,1547.75,1547.75,1.0
2025-01-23,Q1,47.0,47.0,1.0,1594.75,1594.75,1.0
2025-01-24,Q1,41.75,41.75,1.0,1636.5,1636.5,1.0
2025-01-25,Q1,36.0,36.0,1.0,1672.5,1672.5,1.0
2025-01-26,Q1,191.0,191.0,1.0,1863.5,1863.5,1.0
2025-01-27,Q1,227.25,227.25,1.0,2090.75,2090.75,1.0
2025-01-28,Q1,73.25,73.25,1.0,2164.0,2164.0,1.0
2025-01-29,Q1,74.25,74.25,1.0,2238.25,2238.25,1.0
2025-01-30,Q1,101.25,101.25,1.0,2339.5,2339.5,1.0
2025-02-02,Q1,41.5,41.5,1.0,2381.0,2381.0,1.0
2025-02-03,Q1,23.25,23.25,1.0,2404.25,2404.25,1.0
2025-02-04,Q1,108.5,108.5,1.0,2512.75,2512.75,1.0
2025-02-05,Q1,140.5,140.5,1.0,2653.25,2653.25,1.0
2025-02-06,Q1,310.75,310.75,1.0,2964.0,2964.0,1.0
2025-02-07,Q1,67.0,67.0,1.0,3031.0,3031.0,1.0
2025-02-08,Q1,75.0,75.0,1.0,3106.0,3106.0,1.0
2025-02-09,Q1,173.5,173.5,1.0,3279.5,3279.5,1.0
2025-02-11,Q1,57.5,57.5,1.0,3337.0,3337.0,1.0
2025-02-13,Q1,74.25,74.25,1.0,3411.25,3411.25,1.0
2025-02-14,Q1,124.5,124.5,1.0,3535.75,3535.75,1.0
2025-02-16,Q1,71.75,71.75,1.0,3607.5,3607.5,1.0
2025-02-17,Q1,37.5,37.5,1.0,3645.0,3645.0,1.0
2025-02-18,Q1,166.25,166.25,1.0,3811.25,3811.25,1.0
2025-02-19,Q1,15.0,15.0,1.0,3826.25,3826.25,1.0
2025-02-20,Q1,33.75,33.75,1.0,3860.0,3860.0,1.0
2025-02-21,Q1,224.5,224.5,1.0,4084.5,4084.5,1.0
2025-02-24,Q1,149.75,149.75,1.0,4234.25,4234.25,1.0
2025-02-25,Q1,45.0,45.0,1.0,4279.25,4279.25,1.0
2025-02-28,Q1,239.5,239.5,1.0,4518.75,4518.75,1.0
2025-03-01,Q1,42.5,42.5,1.0,4561.25,4561.25,1.0
2025-03-02,Q1,22.5,22.5,1.0,4583.75,4583.75,1.0
2025-03-03,Q1,104.25,104.25,1.0,4688.0,4688.0,1.0
2025-03-04,Q1,61.0,61.0,1.0,4749.0,4749.0,1.0
2025-03-05,Q1,39.0,39.0,1.0,4788.0,4788.0,1.0
2025-03-08,Q1,137.0,137.0,1.0,4925.0,4925.0,1.0
2025-03-09,Q1,45.0,45.0,1.0,4970.0,4970.0,1.0
2025-03-11,Q1,205.0,205.0,1.0,5175.0,5175.0,1.0
2025-03-12,Q1,52.0,52.0,1.0,5227.0,5227.0,1.0
2025-03-16,Q1,109.75,109.75,1.0,5336.75,5336.75,1.0
2025-03-17,Q1,280.75,280.75,1.0,5617.5,5617.5,1.0
2025-03-18,Q1,76.5,76.5,1.0,5694.0,5694.0,1.0
2025-03-20,Q1,36.0,36.0,1.0,5730.0,5730.0,1.0
2025-03-21,Q1,91.25,91.25,1.0,5821.25,5821.25,1.0
2025-03-22,Q1,133.25,133.25,1.0,5954.5,5954.5,1.0
2025-03-24,Q1,89.5,89.5,1.0,6044.0,6044.0,1.0
2025-03-26,Q1,23.25,23.25,1.0,6067.25,6067.25,1.0
2025-03-27,Q1,46.5,46.5,1.0,6113.75,6113.75,1.0
2025-03-28,Q1,37.25,37.25,1.0,6151.0,6151.0,1.0
2025-03-31,Q1,81.5,81.5,1.0,6232.5,6232.5,1.0
2025-04-01,Q1,20.25,20.25,1.0,6252.75,6252.75,1.0
