date,line,gal_ord,gal_ship,fill_rate_same_day,gal_ord_roll7,gal_ship_roll7,fill_rate_roll7
2025-02-13,Q1,74.25,74.25,1.0,898.5,898.5,1.0
2025-02-14,Q1,124.5,124.5,1.0,882.5,882.5,1.0
2025-02-16,Q1,71.75,71.75,1.0,643.5,643.5,1.0
2025-02-17,Q1,37.5,37.5,1.0,614.0,614.0,1.0
2025-02-18,Q1,166.25,166.25,1.0,705.25,705.25,1.0
2025-02-19,Q1,15.0,15.0,1.0,546.75,546.75,1.0
2025-02-20,Q1,33.75,33.75,1.0,523.0,523.0,1.0
2025-02-21,Q1,224.5,224.5,1.0,673.25,673.25,1.0
2025-02-24,Q1,149.75,149.75,1.0,698.5,698.5,1.0
2025-02-25,Q1,45.0,45.0,1.0,671.75,671.75,1.0
2025-02-28,Q1,239.5,239.5,1.0,873.75,873.75,1.0
2025-03-01,Q1,42.5,42.5,1.0,750.0,750.0,1.0
2025-03-02,Q1,22.5,22.5,1.0,757.5,757.5,1.0
2025-03-03,Q1,104.25,104.25,1.0,828.0,828.0,1.0
2025-03-04,Q1,61.0,61.0,1.0,664.5,664.5,1.0
2025-03-05,Q1,39.0,39.0,1.0,553.75,553.75,1.0
2025-03-08,Q1,137.0,137.0,1.0,645.75,645.75,1.0
2025-03-09,Q1,45.0,45.0,1.0,451.25,451.25,1.0
2025-03-11,Q1,205.0,205.0,1.0,613.75,613.75,1.0
2025-03-12,Q1,52.0,52.0,1.0,643.25,643.25,1.0
2025-03-16,Q1,109.75,109.75,1.0,648.75,648.75,1.0
2025-03-17,Q1,280.75,280.75,1.0,868.5,868.5,1.0
2025-03-18,Q1,76.5,76.5,1.0,906.0,906.0,1.0
2025-03-20,Q1,36.0,36.0,1.0,805.0,805.0,1.0
2025-03-21,Q1,91.25,91.25,1.0,851.25,851.25,1.0
2025-03-22,Q1,133.25,133.25,1.0,779.5,779.5,1.0
2025-03-24,Q1,89.5,89.5,1.0,817.0,817.0,1.0
2025-03-26,Q1,23.25,23.25,1.0,730.5,730.5,1.0
2025-03-27,Q1,46.5,46.5,1.0,496.25,496.25,1.0
2025-03-28,Q1,37.25,37.25,1.0,457.0,457.0,1.0
2025-03-31,Q1,81.5,81.5,1.0,502.5,502.5,1.0
2025-04-01,Q1,20.25,20.25,1.0,431.5,431.5,1.0
